,Value
0,118.48384853203565
1,119.88844447197562
2,120.42707295964406
3,118.92321831169966
4,118.31813645313342
5,117.84219025668992
6,120.11564649128786
7,120.6297659394303
8,119.88064192868192
9,118.16837879864225
10,116.92852616994674
11,116.90310029568522
12,117.01318731984563
13,118.69235773288524
14,119.95666926634838
15,118.69503898258245
16,118.6615834311685
17,120.27086382077927
18,118.85363868951671
19,120.98163864774857
20,119.89317508046251
21,120.56243193081089
22,120.57166106437326
23,120.12450413345995
24,120.08400635092946
25,118.66546288649529
26,118.4453166898206
27,118.61103191155675
28,119.28767355069621
29,121.26019869271316
30,122.91210903517371
31,122.87823354781808
32,123.04438257812129
33,122.50372256630773
34,119.96739601408335
35,119.26221761968512
36,118.59614773213826
37,120.1501180237759
38,120.80122252072279
39,118.385687075102
40,117.37296803132838
41,116.90670548386991
42,115.67189756222393
43,116.9832313725846
44,117.32094585622293
45,118.41945518390894
46,121.02359010826568
47,120.61453152327348
48,119.79578519464565
49,120.23298727946609
50,120.11707032574921
51,121.78962265370859
52,122.07665235785491
53,122.04531424695503
54,120.96016321494943
55,119.45878389708021
56,118.88008600000482
57,118.92857044546349
58,119.93877746298703
59,121.00593874805149
60,120.79595430911256
61,120.58161334662397
62,121.03103305336315
63,119.41492484276073
64,118.603042937669
65,118.36040546839847
66,118.31288347407555
67,117.8858118778813
68,118.69592047688664
69,119.83204684573528
70,119.5736494893442
71,120.48449608687747
72,121.29130601520873
73,120.36586794845347
74,121.0255663124743
75,119.88118986628349
76,120.12107893462046
77,118.3840347860298
78,117.45905851631765
79,119.21269575694383
80,117.53282766353495
81,117.21625042988471
82,119.16301558094284
83,118.98574622658887
84,118.68966432921292
85,120.24395591963797
86,121.42054270128847
87,121.4503302544979
88,120.32172249203576
89,119.16344562175557
90,117.48748323270831
91,115.36061074329089
92,117.35848169847537
93,117.68271163306397
94,116.88579689404662
95,119.69490294458579
96,118.81721569429347
97,117.46729175454972
98,117.89542839844373
99,117.94017478980518
100,118.75608483113915
101,118.6134927799885
102,118.45128607323153
103,118.18727256199796
104,119.20135617251279
105,118.66745063456179
106,118.93013965608446
107,117.54003185424351
108,116.5229598557055
109,117.57700129608602
110,118.94558913712073
111,118.75098173538737
112,119.23802630373261
113,118.60570233041308
114,117.29656833747924
115,116.59044767348041
116,117.94025468984232
117,119.10171692906512
118,118.28285557394231
119,119.36903048595072
120,117.9188776873304
121,117.5804622561308
122,116.29820152544441
123,116.46252647315978
124,115.62495453542908
125,118.35968757560575
126,118.33499655639604
127,117.24390075006548
128,117.75772248941182
129,118.37870851940404
130,118.15134792763563
131,117.68439766513298
132,118.23319636525939
133,116.96949810735792
134,118.39875048834325
135,116.60030170642567
136,117.57260460681549
137,118.10242566047644
138,115.90628991907072
139,116.08225442536863
140,117.21015260528624
141,116.39768961752327
142,116.64494586948318
143,117.24538246663484
144,117.4955684622337
145,117.89104263986948
146,118.73789450521409
147,119.95481502301291
148,118.03068593928084
149,118.51754178137763
150,116.95432616269393
151,118.05324016605587
152,116.90409345641785
153,117.7765672094778
154,117.88539063920983
155,116.55343685211187
156,116.32980204275279
157,117.96569027577654
158,118.26759135749435
159,118.14219794442371
160,116.98488056850648
161,117.5448577779188
162,117.35562963890222
163,116.61226464948948
164,117.92080177479744
165,117.60470117013529
166,118.15252136331878
167,117.18200296097734
168,116.61125274735566
169,115.9158173652253
170,118.01411505979762
171,117.7336100139816
172,117.70839651905553
173,118.44889177046622
174,118.86394402770202
175,120.44288785649408
176,120.63321242766406
177,120.23441165331019
178,119.77992996112053
179,120.67525524877445
180,118.91270518870783
181,117.64636276725483
182,118.37098385441392
183,118.2569886245709
184,120.11683102822028
185,120.58779845690344
186,120.10169081434205
187,118.69327135270935
188,119.06973440368083
189,121.43046283158002
190,122.43288248863665
191,121.71859639698008
192,122.39822495957122
193,121.78794036542715
194,121.56782351324414
195,120.28070747085384
196,119.84060230226555
197,120.95277511330583
198,120.95535176366863
199,118.13247299816322
200,118.44647656734328
201,120.67908239892083
202,118.3449436087713
203,117.4814740599368
204,117.71375042172545
205,118.00094628674316
206,119.65009573396779
207,118.84612113664129
208,118.51744306055886
209,119.12221850169058
210,119.65591080333135
211,120.38352265884532
212,119.34623181000997
213,119.63339209529724
214,117.91031114610972
215,118.57859151995495
216,119.17661564275066
217,119.80975856721102
218,120.7411432037351
219,121.39458993348866
220,120.76894787704181
221,119.67430420665656
222,121.27915316793033
223,120.27151959323737
224,120.5088055564373
225,118.81102790236505
226,118.89060631829767
227,119.90242446748243
228,119.07169744260469
229,118.17340499924629
230,118.42142928747566
231,118.10730993266948
232,117.53612289346238
233,116.52022999821038
