,Value
0,39.75172586826436
1,37.804319661946714
2,37.21607436187456
3,37.56483072678657
4,38.27729641261719
5,37.925628294647645
6,38.87103569397408
7,40.362006599181576
8,40.17940800186816
9,39.98772578983529
10,39.429198136422045
11,40.45020833282784
12,40.62018419387695
13,41.12962725287996
14,43.317385733423286
15,43.50190905940256
16,43.72329598700058
17,41.697684298968205
18,41.937319253114914
19,42.48872206145187
20,41.57828294026844
21,41.6448975981865
22,41.009161462928375
23,41.7237874460224
24,41.76702972259263
25,40.84711117671556
26,40.19659014938389
27,40.26066980182897
28,41.66484920895035
29,41.553864616302974
30,41.78850718083384
31,41.326553281667344
32,41.25858369526024
33,40.224049818669485
34,40.312465526778126
35,40.056088900069035
36,39.39978543363423
37,40.70494428827417
38,41.47779813638048
39,42.234137743942426
40,40.32897264215346
41,40.425533535189324
42,39.61145513860849
43,38.769963133658905
44,39.008867438582485
45,40.5714413087844
46,39.54592912193026
47,39.847388716289814
48,39.09523953066988
49,40.562835180579775
50,41.06047306741953
51,39.536075781279756
52,37.78816480337615
53,39.04276529811297
54,40.47865343787165
55,40.55215316882575
56,39.74019976469689
57,39.42267942720171
58,39.007163991639736
59,39.87322873101034
60,38.89905441294955
61,37.22711954458057
62,37.22205518309793
63,38.37057599923587
64,38.77975152550891
65,37.723795500383986
66,39.33322430673667
67,39.42409183842584
68,40.56581560040977
69,40.94133916797458
70,41.50255208789632
71,41.664361243840695
72,40.11229814832624
73,39.379144859563226
74,37.49642668888543
75,37.01351905798882
76,36.74327749001061
77,35.75844075193765
78,38.18129768999259
79,37.68936382375651
80,36.992409366962036
81,37.639743955845574
82,36.4815144928544
83,36.5798431029594
84,38.81099495482101
85,38.909521661025614
86,39.94256149734096
87,40.59937942284474
88,40.76284110619164
89,39.34893154022362
90,39.021726292434415
91,38.73770301908952
92,38.137207997624856
93,39.7478859494024
94,38.23796991012692
95,39.06410840335388
96,38.42640732595082
97,39.58753261136869
98,40.75591528812364
99,41.1630578333165
100,38.94548886589715
101,37.836306086093785
102,38.048510460557324
103,38.03156834359141
104,38.95590848478713
105,38.77350558498023
106,39.060865311770016
107,38.08200765862619
108,39.34829483624782
109,39.74390133797924
110,40.86573164373661
111,41.93248544514604
112,41.54796797892967
113,41.71847289192985
114,41.24963378270555
115,39.913966187863096
116,38.62010635408194
117,39.936992623225464
118,39.51394285405523
119,41.62521635574259
120,41.87483409191635
121,39.98274306074069
122,40.28752956081816
123,40.82374948641249
124,40.846530383571704
125,41.084586982345215
126,41.475263230486306
127,42.6974366056119
128,41.95143860256508
129,41.40604835518687
130,42.030647086095215
131,42.09304639239876
132,41.6782971337633
133,40.75868209815723
134,40.36687374914338
135,39.64258629432385
136,40.06555525331511
137,41.53202766825886
138,42.43893906153398
139,41.67686760953794
140,40.89400815420962
141,41.05462376603465
142,42.01422246881455
143,41.907782062734476
144,40.104596547353566
145,38.497874203836
146,38.97940493658299
147,39.00031948801748
148,40.77376636304933
149,42.443613121078315
150,42.89918175419222
151,43.53902166638596
152,43.10703233085809
153,42.220633020448126
154,41.59163775578742
155,40.467519756586775
156,41.48907096061381
157,43.25557367173612
158,43.120950105007765
159,40.538141956175366
160,40.42064260577958
161,41.97224117661853
162,42.02627024455367
163,40.93794063587328
164,42.434897966396555
165,42.19115196519409
166,43.40526897172935
167,42.62424293517182
168,42.29385496201946
169,42.25666807769238
170,40.41209489971289
171,41.14277867337146
172,42.0749617887231
173,40.385947470309844
174,41.27220378239536
175,38.826159351815576
176,38.70232545531363
177,39.658035529916916
178,39.532348267103885
179,39.19144294329044
180,38.70446014283032
181,38.43716270657702
182,36.970259176964305
183,39.17312564003056
184,39.65668643290965
185,39.63289335846817
186,37.507461354557854
187,39.434929938489674
188,39.912640638712894
189,41.46721182937781
190,42.64742527132954
191,42.50666953958486
192,42.49030527549219
193,41.455204000926685
194,42.5944896892829
195,42.80290505288505
196,41.96791633636672
197,41.41611953257663
198,42.09987484247705
199,41.37765007300152
200,42.681043310929695
201,41.11488061862665
202,41.25717430354161
203,41.709480393351726
204,41.687228946081014
205,40.798723680941464
206,38.806596889365245
207,38.68703525326525
208,38.69717934061647
209,37.728579900551836
210,38.45077674852281
211,40.055488433309655
212,39.02991872314894
213,39.073667426431015
214,37.56967957192953
215,38.6585228735995
216,41.962915217335286
217,42.11849878479377
218,42.26716377323032
219,40.76881807285443
220,40.25194344449616
221,39.83480935191412
222,39.08770780922262
223,39.3075952611682
224,39.219272862578336
225,40.672697778556184
226,40.34261421896993
227,41.54805694050383
228,42.45307191180636
229,42.13875951921818
230,41.715550919346995
231,43.20766550024672
232,41.641746218859375
233,42.73751537617888
234,42.30379215723221
235,41.709134983437245
236,41.85729842029685
237,41.86498150394517
238,39.93358151860939
239,38.724454109319645
240,38.085983661419746
241,39.983815724781095
242,40.751732046030966
243,39.456494306562014
244,39.218000406949756
245,40.33756034139234
246,41.307633734772594
247,41.96870915789012
248,41.58033435982064
249,41.3965736978789
250,40.63595197789895
251,41.731553118769725
252,41.05423521105461
253,42.03282743233573
254,42.73429387044807
255,41.291174042009146
256,41.608845063082974
257,42.30886333609213
258,43.29750122926565
259,44.48610542416984
260,43.55146355271491
261,42.69609102124369
262,42.5159791267535
263,42.85216758827865
264,42.35160176086566
265,43.0682539853391
266,43.32115104714227
267,43.73402696302281
268,44.413420665526274
269,43.270008282626264
270,41.78008409666166
271,40.87316891455897
272,43.29418212402298
273,41.78447542029944
274,41.47782290218135
275,42.47942834395278
276,43.030934739791256
277,42.24018779824159
278,41.23562510713033
279,40.467346017002995
280,40.40029327032049
281,40.337768055804574
282,39.39506325739134
283,39.498455472605684
284,40.62129256107634
285,41.626427995777924
286,42.19124405530774
287,42.06043554080113
288,39.95664470010949
289,41.642451798760135
290,41.5175673105969
291,42.005682320228765
292,41.95881688195726
293,40.581649420181826
294,39.18591679701988
295,39.2706719594725
296,40.004903863364035
297,41.76118190815994
298,42.172601799180846
299,41.22893510692731
