,Value
0,19.446674993946132
1,17.57707376701803
2,17.58103178809466
3,18.279977562266417
4,17.786298363600288
5,15.826082967356632
6,16.1761346148301
7,17.82158299001938
8,18.37449147582991
9,18.91410431363616
10,18.569651640534296
11,18.04445733582297
12,15.924996501152101
13,15.868636426585823
14,18.740438910121835
15,19.634059727483887
16,19.34485725396846
17,17.468644930418403
18,18.960437486521585
19,20.0094721249381
20,18.430700989671664
21,17.321108204087125
22,16.989808573403927
23,19.25826974778405
24,20.17919426258913
25,18.69334007055561
26,17.043474950409735
27,17.04762773883452
28,18.597623879153264
29,18.41200135996674
30,18.19428406454929
31,17.715515667052877
32,18.467206427495682
33,19.182516814277392
34,20.06962964804859
35,18.306662391332424
36,15.638568694233614
37,16.153017333223936
38,17.973798324069516
39,20.038544619358152
40,19.361649057898315
41,19.27889348670559
42,17.201020510199303
43,16.305772991773562
44,18.33199378030844
45,20.351070320364933
46,17.66131230973795
47,15.680988953039678
48,15.5831188396089
49,19.92164413061636
50,21.509667466732267
51,18.138771563037707
52,14.920419959999268
53,16.766466281448995
54,19.305211165538104
55,19.163391507626763
56,17.235569217426853
57,16.61392609698679
58,17.935262471204613
59,20.349017629547745
60,19.028876349291707
61,16.511410755386077
62,16.63709074373626
63,18.141257492779033
64,18.040430625065138
65,16.754604458689734
66,17.784929288363795
67,17.087355501897843
68,17.263346821655844
69,17.151398554451077
70,18.016425320688843
71,18.87939654754725
72,18.878584351237926
73,19.766885563746715
74,19.112779981418075
75,18.49396166944452
76,16.702257818413766
77,15.311474565168787
78,17.706549942100533
79,17.496170868030784
80,17.858401215469925
81,18.806971102676272
82,17.244671160557033
83,16.75523418898029
84,17.035354239146013
85,15.30059084020709
86,16.373915655187147
87,18.83186339161019
88,20.41113263762834
89,19.0052071943204
90,17.347839639471086
91,16.059183903215644
92,16.950147811137416
93,20.278462829639906
94,19.189548291122723
95,17.70620692109938
96,14.468156619071939
97,15.515139690551404
98,18.950943812636297
99,21.105765162404374
100,19.181148465393235
101,17.452553179984765
102,16.761861707235106
103,16.680790744330203
104,18.04340230514258
105,18.28313162150088
106,18.172328313414237
107,16.949179668769894
108,17.734264796222735
109,17.296768754838713
110,17.19832875514933
111,17.00007539556673
112,17.11859366106503
113,19.56300245783016
114,21.00259116268491
115,19.605729231900632
116,17.014991640974994
117,16.363335211848224
118,15.810786122719003
119,18.915972520292982
120,19.527323120806603
121,18.12756234766226
122,18.687269736983605
123,18.228382675531222
124,16.719151710417613
125,16.636220515990825
126,18.491615818979437
127,20.477863275376443
128,18.693718027823106
129,16.699265775602502
130,16.97832543800723
131,18.53333235420515
132,20.442488937498617
133,20.62122440553056
134,18.60648395244129
135,15.422955306484166
136,15.549551959544356
137,18.85502914051859
138,20.82798956693455
139,18.89890404309667
140,16.314860416577005
141,16.427458422657104
142,19.043756415632657
143,20.479675455229668
144,19.42813524302428
145,18.262074007695993
146,18.156809742746262
147,16.80590645991349
148,16.519741161236244
149,16.151719180475418
150,16.644135706563738
151,19.55346789009016
152,21.525796148614347
153,20.684778977997684
154,17.458822177167917
155,14.816153659882838
156,17.474660650958246
157,21.241460078565552
158,20.379301529413873
159,16.463691092672605
160,16.891384057835495
161,19.595807823496916
162,19.53419141412945
163,17.600740266430353
164,17.445628916113105
165,16.53835376783517
166,18.478009737523326
167,19.692981760837167
168,20.828447601913354
169,19.531959768036742
170,15.92569631111424
171,16.59441169290164
172,18.973545923525418
173,20.001397520168293
174,21.260373977537377
175,17.14920609349063
176,15.632804570283952
177,16.79089585819019
178,18.69164405078282
179,20.4161733731575
180,19.61453277550421
181,16.450206650137574
182,13.86950214885646
183,17.628124093391637
184,20.21471351535064
185,19.953675076589278
186,16.41526797715134
187,16.223833772331044
188,15.641005910384035
189,17.69306415931947
190,19.43004502935059
191,18.918804857665222
192,17.79081654895349
193,17.065259883338257
194,19.421337161385352
195,19.900185593560103
196,18.253513613471068
197,17.21523748468902
198,18.143641238723855
199,18.784726520093024
200,20.19108776172845
201,17.750334383063358
202,17.19644927276539
203,17.773645560923978
204,18.760667805735086
205,19.47095516151934
206,19.59719732785524
207,19.98367567688371
208,17.499083916359318
209,14.140164144762029
210,15.693665842780284
211,19.962616593423476
212,20.83427829067881
213,19.224723621671995
214,14.633734630065078
215,14.493855312039926
216,17.836092279694824
217,18.70736905746224
218,19.34578392696095
219,18.55658983940335
220,18.92035830390335
221,18.876015544754694
222,18.003197694458073
223,17.58979241585219
224,17.0606519386679
225,17.75740486274094
226,17.168053927179308
227,18.256262231168865
228,18.294285426194307
229,17.291293912810108
230,17.870519641739236
231,20.190857254625598
232,18.937010039299373
233,18.669850305393048
234,16.48606681499623
235,16.722017711597033
236,20.243780138985805
237,22.38956134465376
238,19.43012288696994
239,15.726754606219831
240,14.955395033925186
241,18.83924614863968
242,20.58257140548921
243,18.316371641731713
244,16.28796564934732
245,16.113220410368395
246,17.19464015869208
247,18.972269423717258
248,19.685396237947927
249,19.276533638122462
250,17.421700768939026
251,17.022898756830962
252,16.681865789934715
253,19.486330668824976
254,20.652407981771468
255,18.102050387926322
256,16.788784326750132
257,16.748854942346366
258,18.280046166312772
259,19.767000208918002
260,18.81715240387731
261,18.52057686092416
262,19.31975849291506
263,19.600258071585408
264,17.97801518654859
265,17.181291372902948
266,17.10168150465454
267,18.91786631366938
268,20.775276802697714
269,19.591109486472586
270,17.981316369516996
271,18.215802084679964
272,20.133421965314092
273,17.092065480011602
274,16.66708629523665
275,18.96753224197936
276,20.22802448678838
277,18.810986795339023
278,17.25427786005113
279,17.77409644317337
280,20.06090381289989
281,20.584850150216525
282,17.69185662583883
283,15.1878659418337
284,15.497474459426588
285,18.23185878139955
286,20.91636922565725
287,20.385645109487985
288,16.694426985117165
289,16.520220386675184
290,16.428460139772177
291,19.224158803444485
292,21.33826561889386
293,20.019341711809467
294,17.18456808981196
295,16.07321064267156
296,17.01354539984166
297,18.96949687211209
298,18.431718195107102
299,16.944913805789703
300,18.109572443624444
301,19.23815713768901
302,20.08719267879645
303,19.32995432542567
304,16.915741958047423
305,16.564438306800003
306,17.951037470240237
307,18.816941942367126
308,17.21192264855691
309,17.368966232495147
310,17.977597378559974
311,18.434830450001964
312,19.658672708603287
313,17.910235753274595
314,18.06962060910905
315,19.14954338710837
316,18.297410362879454
317,15.750048969021757
318,16.87044810408514
319,18.393416772476154
320,19.09128211720942
321,18.53818443986636
322,17.268931320858183
323,16.521796970398533
324,18.11932092626051
325,19.711220808261018
326,19.367501901764292
327,18.730251330873266
328,17.69942563750335
329,16.01379285450273
330,18.89267002611655
331,18.88609730438706
332,17.73134789588635
333,17.420050852449197
334,19.192969278053432
335,20.18107546059535
336,17.927248616241346
337,15.648161435518192
338,15.475725747486589
339,19.513657588712064
