,Value
0,9.97972928480283
1,10.169405561670533
2,7.7170772846124684
3,6.871570476318201
4,9.67107267698374
5,8.811181768263088
6,6.908270189346771
7,7.719152837124758
8,9.381770329572564
9,9.610644296471387
10,7.010495080710694
11,8.759465673689382
12,9.3882110086832
13,7.84322172351987
14,7.728226487908808
15,7.942369542936952
16,10.904032676539208
17,8.595326410637448
18,8.638498289209286
19,8.788919215698288
20,8.144616737637827
21,10.265701806107867
22,8.49699112587493
23,7.492189670993387
24,8.772269627850283
25,10.310106130324403
26,8.75425228358139
27,6.977771398137147
28,9.404444865423725
29,8.82591804442474
30,7.872013841667753
31,8.717342715182017
32,10.516452384455276
33,7.560441812622781
34,7.925080430901621
35,10.31137964227521
36,8.78904538895388
37,6.913969486812698
38,7.654974577352229
39,10.889114888817701
40,7.841929854526173
41,8.506755555564395
42,9.51786556798855
43,9.054740630068224
44,7.8280189173683965
45,7.904540532567893
46,7.799040060677141
47,11.34383916262485
48,7.508896435156181
49,6.2436556000822545
50,9.554823571001362
51,10.709188527924816
52,7.740460517762962
53,8.036616075746453
54,8.203477758285855
55,7.641693345500373
56,9.56511495130309
57,10.372145710424444
58,6.352187777009229
59,7.700762695141213
60,10.826672457085248
61,9.364800051197847
62,6.491799805103499
63,8.004010723538245
64,9.81872548831105
65,7.585254653505123
66,8.441186651605548
67,7.5779621343088905
68,9.193931009807562
69,8.219224538032273
70,7.6960639042883
71,9.225469019291953
72,9.470864673238907
73,9.267703582451265
74,7.489663339126382
75,10.100205467519153
76,9.041202513660718
77,5.433895598842279
78,10.234356898669088
79,8.052244078585783
80,6.435509507435047
81,10.762459867879178
82,8.606139716285345
83,6.084927811684622
84,9.14377764959121
85,8.28351562600277
86,7.613568156628194
87,8.131730524355964
88,9.447348230041818
89,8.481493949888486
90,9.158613627480872
91,8.511726825801079
92,7.726014310307175
93,9.695531237490625
94,6.548115469817086
95,9.893352064580155
96,9.167795405791955
97,6.969464063197243
98,7.025197819229302
99,10.348530635000136
100,9.198717216427347
101,8.382472772924816
102,8.779940155530289
103,7.859078101163432
104,8.274454862583008
105,8.113916027977686
106,9.208312451011205
107,8.042409374096673
108,8.995159574259073
109,7.146370337143965
110,8.302355839033583
111,9.558112471962131
112,7.365272447399578
113,8.867057289114797
114,10.306014844882657
115,7.993908398876146
116,8.122138063719785
117,11.295437295925478
118,5.696991852135088
119,7.089616647672136
120,11.008418616963707
121,9.204508406620455
122,7.469851876742366
123,8.019846067611697
124,9.932882510881479
125,8.824759667811694
126,6.50734577786212
127,9.426993937874554
128,9.949386846685941
129,8.107140031818695
130,8.138309902989997
131,9.179009462751933
132,9.292601940316978
133,8.23199563278398
134,9.20967203843652
135,9.252699864574264
136,8.263356607596002
137,7.398209750790663
138,8.154262500176088
139,9.77822074710139
140,9.933726041934486
141,7.46573069068222
142,7.4660724192178805
143,9.972060131436624
144,9.789688278994795
145,8.250710210664751
146,8.949254134712529
147,7.837185493090416
148,8.389093859604989
149,7.650668623497856
150,7.735816314991338
151,10.633223656356463
152,8.622371014281066
153,6.975119726556581
154,11.221724975899733
155,10.530144712830934
156,5.551420299840849
157,6.717429180629544
158,12.332510992084858
159,9.78585599340454
160,6.3311903079731735
161,8.626365160059702
162,10.095023141830305
163,7.96859657616532
164,8.775930995158488
165,7.838112412010119
166,9.846017335617544
167,8.017592625568168
168,8.885402057759778
169,10.3052668977878
170,7.566506235989582
171,9.52598734729184
172,8.877412996635096
173,6.052793235151107
174,12.223284504268907
175,8.83067566353843
176,6.3476259165834605
177,9.414491378361687
178,9.78557976738665
179,6.670490140765882
180,8.109599726760733
181,11.838307219900965
182,7.090167156980446
183,6.295525612312934
184,8.673910489031629
185,10.971867683332999
186,6.678815690541789
187,8.823253105236224
188,8.28453077307451
189,7.890298760171175
190,7.737488917518341
191,9.071288159944569
192,10.392070045366015
193,7.4039985909194055
194,8.694858802646685
195,9.312159534117857
196,8.355634512898858
197,9.312827091621815
198,9.746615559639816
199,6.360748380242425
200,9.767398851616953
201,9.726416048768938
202,8.779147019136206
203,7.023281326215642
204,8.998436135015286
205,10.925987042501715
206,7.828866243077496
207,8.119937808723652
208,9.687345327030298
209,8.05365128175691
210,8.111041807484334
211,8.3290880935166
212,6.944502837097204
213,11.041484423947468
214,8.942127699825399
215,6.440675135966803
216,7.792718218873411
217,7.922838047087078
218,10.458756072336683
219,8.640846743071673
220,8.121895832207995
221,9.479921188634886
222,9.136459287191093
223,7.788752780313219
224,7.686912801589559
225,10.305716516791827
226,6.912724107812096
227,7.783349308024237
228,10.240866189536177
229,8.106389125658882
230,7.451887995207093
231,11.183408454412628
232,7.2393931629124815
233,8.463828173305071
234,9.690624519695849
235,9.278482788328853
236,7.927546970201405
237,8.249375684507408
238,9.921251392289664
239,10.827610438150586
240,6.625536598305414
241,7.096607584353183
242,9.587918688104525
243,9.030187506306342
244,8.518133600275819
245,8.223727182899708
246,7.481907142483143
247,8.77295836570436
248,9.575340628412373
249,8.689958552528742
250,7.622413114422358
251,10.369212044784476
252,7.732685371107863
253,7.891054255466459
254,9.441446908146876
255,8.619210477725955
256,9.777129485301252
257,7.9200536385674685
258,7.022096061140543
259,10.086901013066202
260,9.368994623453235
261,8.178426380576143
262,9.623163386553214
263,9.55604975827996
264,6.769435976462983
265,9.68389607595472
266,10.398991245614045
267,6.5844688071614215
268,7.6701286835653715
269,12.052041302463174
270,10.2249663089688
271,5.161745230051384
272,10.048551264245043
273,9.8652668703126
274,8.34468360514506
275,7.85605332908696
276,8.660465614033033
277,9.507666118949476
278,9.53542310067719
279,8.361463491863196
280,8.535763602053176
281,9.092985638015064
282,8.37550069796615
283,9.126958220302015
284,8.403283717238427
285,6.590947514310548
286,9.05281292492048
287,10.926113165431893
288,7.0132262107206245
289,9.331852629797792
290,8.406039356636173
291,8.261344398276481
292,8.853939706628537
