,Value
0,57.6904651106962
1,56.05307507851876
2,53.69236084796244
3,53.227614236929504
4,53.324019328711145
5,53.20845986995998
6,52.746864337483004
7,53.830548575587365
8,55.65256508506578
9,55.098672240735354
10,54.69033878340298
11,54.051888966650054
12,54.0406506281198
13,53.84257728563883
14,54.19231500727994
15,57.27293283954436
16,57.68825792803107
17,57.4930816850131
18,55.80660331265229
19,56.133364185278324
20,56.96503956402267
21,55.83395385303793
22,55.69632250391099
23,55.45411044541864
24,56.59875138461015
25,56.75584422877252
26,55.16762612141022
27,54.3782357689292
28,54.382318530454896
29,55.949754003292696
30,55.883842785446994
31,56.576637805072636
32,56.20819106501311
33,56.16089719768468
34,55.53835181422612
35,55.176603145082844
36,54.40410874713723
37,53.23553760198452
38,55.3166823168247
39,56.30603299200583
40,57.28465754969107
41,55.89185002202726
42,56.06590872413873
43,54.42485194151977
44,53.84024633471617
45,54.11179844350697
46,56.01285300123931
47,54.484523592610635
48,54.22821791995963
49,54.03712395980161
50,56.60203145479072
51,56.82048992069171
52,54.4070083967291
53,52.418143685956935
54,54.06252874355657
55,55.73658521394536
56,56.06124854663148
57,54.85254424975193
58,54.72612349663913
59,55.232859190692466
60,56.37522940231204
61,54.847227333871814
62,52.76155620566211
63,53.310215165576
64,53.91691938670115
65,54.076856572827374
66,52.585333656539
67,53.897894758971
68,53.73901238734663
69,54.648529336442515
70,55.67110822730998
71,56.67941800196224
72,57.696902860513944
73,56.58955279566912
74,55.9130328292238
75,54.63506222369879
76,53.17502086749504
77,52.68923395397152
78,52.222815600954554
79,54.36954554063052
80,54.27769270324603
81,53.86574768260848
82,53.46321499233903
83,52.00120998259193
84,51.75307307619911
85,53.55420908643299
86,53.440423484235865
87,55.0868419833571
88,56.08552131693938
89,56.33084326244871
90,55.30977434115737
91,54.2499231067189
92,54.42971191466639
93,53.70737192038365
94,55.491119208225875
95,53.65959414928924
96,53.79403018662792
97,52.71755053663418
98,54.78845311020492
99,56.80431434027092
100,57.18903513458961
101,54.95913360994499
102,53.43771267723548
103,53.61287898332708
104,53.47264739804393
105,54.86028464709551
106,54.29126166260384
107,54.24545847390834
108,52.82316267033337
109,53.44264363998209
110,53.909102383650534
111,55.02556685378033
112,56.18100842626657
113,56.38983782378983
114,57.392671303283045
115,56.44659476380887
116,55.182263987471366
117,53.07619395317267
118,53.843057328099
119,54.330174099423886
120,56.623916017610945
121,56.515564050540846
122,54.56149948602491
123,54.80167610397639
124,55.20313979787277
125,54.588555021265506
126,54.963793051712514
127,55.79299191748865
128,56.79012527300268
129,55.87840519921859
130,55.47868986957145
131,56.55297776943219
132,56.864340176959814
133,56.818420678245126
134,55.88822346626867
135,54.806058137580905
136,53.43437770001877
137,54.076508792460146
138,56.04931234891225
139,57.025979723878294
140,55.774776568538044
141,54.79752161726573
142,55.71987887573848
143,57.683975056694436
144,57.526480858433594
145,55.685801884893046
146,53.404520745393455
147,52.910547280349085
148,52.59380886447544
149,54.056248628423745
150,55.79038478961784
151,56.69221183876976
152,57.65727128494888
153,57.844308985530176
154,56.74724941808836
155,55.12820533450742
156,53.692113609474895
157,55.94886243604467
158,58.23257081875425
159,57.32301861271232
160,54.419580357701705
161,54.931469151523785
162,55.961857278461956
163,55.93535512872191
164,54.35413298232984
165,55.992593723766376
166,56.056564027129035
167,57.193587596013344
168,57.27129598943984
169,56.93877424876878
170,56.204030077816746
171,55.0590612806797
172,55.531595488415746
173,57.350330391714834
174,56.16646133496571
175,56.53916768967547
176,53.98423843212934
177,54.03980808537542
178,55.24141932957296
179,55.20439578746677
180,55.66944753931915
181,54.43247596177755
182,53.5677881826415
183,52.00148522675737
184,55.290758699187165
185,55.25269249523931
186,54.74268702652771
187,52.00208205922263
188,53.18687113831115
189,53.616248724148576
190,55.18377117463768
191,56.89075587963474
192,56.404853868222176
193,56.03769726748922
194,55.35703593671183
195,56.91369328530821
196,56.82098307921886
197,56.264410056765236
198,55.17012513606045
199,56.34174222430639
200,55.86398831934076
201,56.880896568687675
202,55.21100276424332
203,55.65138314480987
204,57.11383579631652
205,57.40082778495203
206,56.38745321765751
207,54.8643900850311
208,54.660832637566735
209,53.749556413487035
210,53.035585954290966
211,53.861953254402984
212,56.155364021312074
213,55.0637659141192
214,53.42396000991876
215,51.42061423351835
216,52.46271270122356
217,56.3888730040121
218,56.97465968195579
219,57.280070250847714
220,56.16835167801161
221,55.640499363699895
222,55.2879749261559
223,53.894531425635044
224,54.11822977477177
225,53.65291001699464
226,54.49464153248888
227,54.19543430705586
228,55.761245147156274
229,55.95603781837195
230,56.17109450191549
231,55.52145826306154
232,56.948714900959644
233,55.76405688155542
234,56.863677149670636
235,56.265225127563376
236,56.464229509932515
237,57.395647265666305
238,57.90123469522254
239,55.21432817792438
240,53.2823735258223
241,53.1710669753808
242,55.46226227684824
243,55.77206987070416
244,53.910848416761546
245,53.25736407249889
246,54.48139945112401
247,55.57093853397433
248,56.64828137737587
249,55.834329740654525
250,55.82098576346426
251,54.8087123592409
252,55.334905098391594
253,55.25700848431151
254,56.374674679050834
255,56.71914647877717
256,54.81691457466072
257,54.43204921103702
258,55.36360471009773
259,56.9069339196666
260,58.28353804194152
261,57.16100360233831
262,56.515594572199404
263,56.117559758565555
264,56.24107482760968
265,55.58887308181986
266,55.88374697075632
267,56.474534060244736
268,57.69161520814286
269,59.0925463102668
270,56.851592282870826
271,55.626853599813984
272,55.23405947442045
273,57.22583004010101
274,55.26420617211717
275,55.209497312341995
276,56.75055027824121
277,57.755722258715785
278,57.06311556882971
279,56.00893537289831
280,55.67375272722815
281,55.763091169855976
282,55.20728528460642
283,53.690380519579925
284,53.43217997144597
285,54.44487247964179
286,56.53113774071004
287,56.63851188711259
288,56.26240928487403
289,54.023772642808154
290,55.571591508288584
291,56.003546705060394
292,57.31843560625799
293,57.42651354427674
294,55.75905177740887
295,53.50089668825915
296,53.11849125939669
297,54.31829764250754
298,55.94184814166678
299,56.420145341168016
300,55.82144074888825
301,56.60784860828835
302,56.731924732394724
303,56.348060108484354
304,55.47956432203402
305,53.403212902250935
306,53.62456743466186
307,54.48156273911091
308,55.399976664380766
309,54.846224246105095
310,54.999813873273716
311,56.154701330588914
312,56.27466118122251
313,57.080329398978364
314,54.79075578733879
315,54.52654833332661
316,54.67285500552366
317,54.58422147934462
318,53.21729269057159
319,54.48651030017649
320,55.20599927293225
321,55.44940275875257
322,55.16083273178781
323,54.97238797952021
324,55.2812087631913
325,56.455508725675074
326,56.602498919722024
327,56.251997590791625
328,54.96758483052313
329,54.89388735406722
330,53.489390287436805
331,56.295877927993835
332,56.64927182829893
333,55.846586755427516
334,55.10152689846732
335,55.049788235820955
336,55.68869368525683
337,53.538808486748
338,53.01840384835035
339,52.027609668430664
340,55.20284481815704
341,55.54250033432917
342,57.08116974396955
343,56.190196003893966
344,55.60905377355126
345,54.79823481629029
346,55.24141472953983
347,54.77854555856106
348,54.56476238274791
349,55.23166842689453
350,56.42133560410698
351,56.423407629500986
352,54.32671912775995
353,52.946864491338616
354,54.44385008978213
355,53.038557689127046
356,53.90026325355923
357,54.06016988912383
358,54.49654676797787
359,54.065808245378506
360,53.30945939253795
361,53.764901911900964
362,56.39879258894866
363,56.77961011963834
364,55.6664473823716
365,53.239418485897026
366,53.84505891785624
367,54.7032892611335
368,54.389749298147464
369,53.7709016020786
370,54.79319150795496
371,55.676923314807205
372,54.820224150506306
373,54.135156225456605
374,53.400090652850395
375,53.77690529306842
376,54.33070184045854
377,54.790568984113236
378,55.3994186636057
379,56.27442380730729
380,56.34995308613564
381,55.46712344536224
382,53.974993006523135
383,53.54300979290209
384,54.64181195367789
385,55.886730436484214
386,54.431314701387336
387,53.90475706602312
388,53.2588242167859
389,53.6705668620305
390,53.17202093982862
391,52.64716485007921
392,53.01686242451008
393,54.28557311583884
394,55.75661726630031
395,55.557439251653726
396,53.72597637123057
397,54.47112315823981
398,55.657419961477494
399,56.68330759958278
400,55.567503116276626
401,54.40680032109417
402,56.331546808114716
403,56.83857030309412
404,54.249785171654985
405,53.103902622797236
406,53.36610891480317
407,56.574250124194755
408,57.65273169256013
409,56.690974055279234
410,54.68429247435264
411,52.68327868790549
412,51.95798720613184
413,52.84320397629317
414,54.91070281598124
415,55.21136615041918
416,54.41844550940424
417,53.8975007770062
418,55.503177168232504
419,54.31845910409419
420,56.16068765867383
421,55.4037308336144
422,56.1355627287141
423,56.68906536231249
424,56.467166541416546
425,56.090428483950454
426,54.31158451720545
427,53.184093261120736
428,52.56311521505549
429,53.491379970245006
430,55.72375550789065
431,57.593059950828305
432,58.77023035585032
433,59.38381940929627
434,58.69904417161311
435,55.395395412271455
436,54.119353083838874
437,54.77432940256704
438,57.139093037630886
439,57.61092695710993
440,55.58567711948227
441,54.01552099172619
442,53.026988116932635
443,51.53442331123038
444,51.652046620177536
445,52.14212968232109
446,54.16409536551446
447,56.570572996229316
448,56.007435753653006
449,54.54459826915063
450,54.67127977203382
451,54.87634736543197
452,57.09110861583313
453,58.14222355359314
454,58.29432896538192
455,56.942698494979226
456,54.87241256892862
457,53.7330161595011
458,53.9747544805012
459,55.313635654745134
460,56.15974869824351
461,56.58148358835007
462,56.972002078003634
463,57.28354708910522
464,55.5493584050261
