,Value
0,-1.691238575011628
1,-0.31260725900294783
2,-0.8931640488987249
3,-2.5197440821861044
4,-1.610561525952066
5,-0.9817169253287317
6,-1.7684906181117763
7,-1.2420903212839227
8,-0.2070685051902308
9,-1.5097889291943667
10,-1.5017871710560513
11,0.27843319431402436
12,-0.3932841775961262
13,-0.6903739052709696
14,0.9648809891381978
15,0.4826632959206817
16,-0.10325979012632802
17,1.294060654274964
18,-0.1272833866088221
19,-1.7568343445059247
20,0.31375224265186086
21,0.8898533072081904
22,-0.47078884109692654
23,-0.43476261964741203
24,-0.27627967919212904
25,-0.13162816639633085
26,-0.08877922615526525
27,-1.4136367048801304
28,-1.8450330741178038
29,-0.7313808111417412
30,-1.6430876887134445
31,-2.0111571798184458
32,-0.15036333932323043
33,-0.26147420565565693
34,-1.5443583055335368
35,-0.7143147114860691
36,-0.9122151590757756
37,-2.489665169382184
38,-1.9087946707462262
39,-1.5096219878035484
40,-2.465712042699895
41,-2.3294997319395145
42,-2.572553103414046
43,-2.683718297765664
44,-2.452557999599572
45,-2.7696465648113504
46,-3.276200503425668
47,-4.075119078387001
48,-5.064655324281082
49,-4.266050310865854
50,-2.374536494944163
51,-3.298639463432073
52,-4.1314688367761025
53,-3.250902306022974
54,-3.801271267831075
55,-3.3868032326761814
56,-1.8151760558487282
57,-3.5186012249939496
58,-4.352500218983542
59,-2.75475070233477
60,-3.468708906280312
61,-4.173136808471113
62,-3.0103007475227077
63,-3.507263536411969
64,-4.551122887431389
65,-3.551638986697251
66,-3.0478783456336296
67,-4.08643082642593
68,-4.100277574116849
69,-3.7937223345709574
70,-5.27299821402916
71,-5.3253337506825975
72,-3.880801958958118
73,-4.30033605639598
74,-5.1352497333010305
75,-4.465996118386166
76,-4.057528542835623
77,-4.761270322218859
78,-4.352429586772566
79,-3.9822660108072907
80,-4.804592113934979
81,-4.9060877736454955
82,-5.031397762811913
83,-5.391218923348969
84,-4.835256311794973
85,-4.328335204484129
86,-5.655454015383654
87,-5.150183414087543
88,-3.6041362910986763
89,-4.997688988101888
90,-4.746654578782257
91,-3.0018905418762003
92,-5.061332295116
93,-5.267949119198619
94,-2.929383189257828
95,-3.934610080121774
96,-4.528942792088239
97,-2.3771022090228846
98,-2.9397366176946695
99,-5.359849950293052
100,-3.3924314944937857
101,-2.1891714311046813
102,-4.973911079274286
103,-5.855331815328389
104,-2.983341734067337
105,-3.703749025059739
106,-7.33977878934615
107,-5.291787692629082
108,-3.0561276742503516
109,-6.176393513531723
110,-6.431848482062959
111,-3.0342782535943407
112,-4.205286497334827
113,-5.980627798926173
114,-4.410707398991196
115,-4.0757632622251805
116,-5.609322248631681
117,-4.577455788668996
118,-3.633884905038812
119,-5.727464605881237
120,-5.0458281036595185
121,-3.475937125047557
122,-5.561729217060924
123,-6.411114147538358
124,-4.654311459487484
125,-5.5061567033037235
126,-6.612518741832927
127,-5.427287403174755
128,-5.748498942347675
129,-7.071131508658471
130,-6.110670784344946
131,-4.189135035520291
132,-5.457134354045145
133,-8.015701589622713
134,-6.6163751480148925
135,-5.507934194619955
136,-7.414921147525334
137,-6.936233198321988
138,-5.492298696634606
139,-6.383308282705343
140,-6.127384157766223
141,-4.695852329182675
142,-5.454439805740094
143,-6.212766138522325
144,-5.068829947239549
145,-5.39686679614901
146,-6.585129272132006
147,-6.15668043828586
148,-6.610628598879597
149,-7.044708212861806
150,-4.871024240677787
151,-6.064524801494024
152,-8.990444972280702
153,-7.260828383221524
154,-5.710885471814857
155,-8.265544714603015
156,-8.402171875702939
157,-6.662559880238195
158,-7.924974033927025
159,-8.85507602674064
160,-6.239671556488963
161,-6.626601499217003
162,-9.149335601529607
163,-7.983708610782875
164,-7.249898828534943
165,-8.437680720073985
166,-8.177625510101892
167,-7.748685658787502
168,-8.567768037586418
169,-8.512298933010072
170,-8.350254828043008
171,-9.394557395822787
172,-9.983410276843223
173,-10.329664523411957
174,-10.553477875081859
175,-9.666890414353066
176,-9.41076625613837
177,-10.959514551545478
178,-10.763547645743742
179,-10.515643064974322
180,-11.29177264766437
181,-11.143071956625661
182,-10.761896471492413
183,-11.802605711913587
184,-11.924118191985485
185,-9.22290585944636
186,-9.12261949100772
187,-10.188200496623997
188,-8.438660474509685
189,-9.010885797651039
190,-11.195311684538066
191,-8.283973179354302
192,-8.107512849548048
193,-11.226607551734892
194,-8.231714505466076
195,-7.216761843785898
196,-11.459816893482554
197,-9.559674718676261
198,-7.513820686661154
199,-11.565121256397493
200,-11.456415233650738
201,-9.107879137125092
202,-11.930737124674994
203,-13.058403692847772
204,-9.184234325697656
205,-11.374090657690516
206,-14.524677761176173
207,-9.92151265770865
208,-9.838697866804859
209,-13.517580486123252
210,-11.016194015575952
211,-9.702686941658587
212,-13.324997968017062
213,-13.264227893138758
214,-11.061749661322029
215,-11.969338380187896
216,-11.985225181094172
217,-10.115006438475156
218,-10.173310822763876
219,-11.22369204976702
220,-10.681862357852824
221,-9.66137941055986
222,-10.675827467987
223,-10.184703378351152
224,-8.34685655426654
225,-9.895926958176393
226,-11.179736297921577
227,-9.036443909702538
228,-10.020684474327545
229,-11.69413671568358
230,-8.680973879959716
231,-8.961668650085265
232,-9.941982517194306
233,-8.2960509238251
234,-9.911603854225085
235,-9.959559754747522
236,-8.870826079305877
237,-11.113314407445493
238,-11.089593155759655
239,-9.042175021527243
240,-10.185629165104768
241,-10.528781061716124
242,-8.74157086234321
243,-9.973577792187326
244,-10.562023227703447
245,-9.722761535015085
246,-10.644250800676781
247,-11.056626427374189
248,-10.23435326927953
249,-10.238070196863779
250,-10.953553587219945
251,-11.722652366207608
252,-11.845766466127351
253,-11.965135498385836
254,-11.863079015096964
255,-10.866823901579163
256,-10.414942970131932
257,-11.379490145150129
258,-11.723261869633276
259,-11.161943255654768
260,-11.694422257550082
261,-11.138972207777648
262,-10.83376329481105
263,-12.06529466532737
264,-12.061155866731346
265,-11.097687287267437
266,-11.910778848286032
267,-12.307246877611883
268,-10.846014475390255
269,-10.882637470307921
270,-12.127377299693254
271,-11.082739087147818
272,-10.90579357891964
273,-11.924892689027804
274,-10.920113371049803
275,-10.506883936707528
276,-11.73067979975065
277,-11.888695715021225
278,-10.66981805701552
279,-11.10051815200309
280,-13.280455896487911
281,-11.870760919074712
282,-9.59782333007048
283,-11.519213184934168
284,-11.551988695955247
285,-10.443760878914198
286,-12.170408180669948
287,-11.619824912942558
288,-10.345336223752005
289,-11.806183084187962
290,-12.132453464522749
291,-11.415982841231203
292,-12.501418857565518
293,-12.889032723339541
294,-12.759432612891047
295,-14.732106790948318
296,-14.289915817025298
297,-13.191196606268056
298,-13.964760302197032
299,-13.542870394435816
300,-12.553336133908141
301,-13.145489744855691
302,-13.284539036495648
303,-12.410822993920277
304,-12.71216275255819
305,-14.138279832395238
306,-13.089544862508859
307,-12.712992699011956
308,-14.517081359134254
309,-14.02799502578866
310,-13.658931570319062
311,-15.181517658362104
312,-14.622751601884028
313,-12.991951491472522
314,-15.298039257818777
315,-15.713337053260526
316,-11.957726885290327
317,-12.019270660825187
318,-12.937465333900061
319,-9.678393312202227
320,-9.659050586878987
321,-12.998035857641076
322,-11.224156830846976
323,-9.357211515009778
324,-12.399685027289562
325,-11.88848393156704
326,-9.429128484910256
327,-11.42274880771945
328,-12.366708327147835
329,-9.600385497285243
330,-10.486721896506085
331,-13.422062236952545
332,-11.024103328851973
333,-10.34653056571111
334,-13.11155835861095
335,-11.096436222715864
336,-9.774294815042406
337,-12.512051520339023
338,-11.447047462150776
339,-9.123102429119323
340,-11.026151420445784
341,-11.920655195272188
342,-9.173598004383607
343,-9.301737779445505
344,-11.777669551417006
345,-10.15123609239328
346,-9.75562582575501
347,-10.41412005988031
348,-8.932025960614002
349,-9.889772107398313
350,-10.758730458371302
351,-9.067268874421316
352,-9.614665788521693
353,-11.059257452524273
354,-10.224927292530351
355,-10.891847910660744
356,-12.583444368980329
357,-11.68902813384284
358,-9.44339946768289
359,-11.124153560221792
360,-12.823917284342647
361,-10.650706479735586
362,-9.893986126612292
363,-11.232356558140108
364,-11.016801230012097
365,-10.241859728851999
366,-10.809820186850832
367,-10.952374621681424
368,-9.769189396090757
369,-9.64226110623899
370,-9.762887706256402
371,-9.820731268953999
372,-10.494766366467637
373,-9.924463957606243
374,-9.492667192816825
375,-10.092329649160428
376,-9.601319472973382
377,-8.741741358041368
378,-10.320040305455738
379,-11.022933117577619
380,-9.723535092157785
381,-9.25477997541536
382,-10.981810975050594
383,-11.03155756489255
384,-9.970718087061824
385,-10.458051817113251
386,-10.052319015500794
387,-8.197167150125455
388,-9.5886396342034
389,-11.107302307671395
390,-9.313549661822769
391,-10.06151610795539
392,-13.266254904069841
393,-11.375591235252418
394,-8.57164789126983
395,-9.899120545386058
396,-10.03796945829173
397,-8.837255088538791
398,-10.377431934397128
399,-9.518990539632792
400,-7.362808750526556
401,-10.314154448148283
402,-10.969390551095229
403,-7.254646530153385
404,-9.842585133054081
405,-12.633776959781297
406,-8.143265111147588
407,-8.662140081279182
408,-12.559070924441414
409,-9.159959557816322
410,-8.378842552942801
